epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,750.481,0.53074,0.56258,0.40794,0.91447,0.98951,0.96119,0.9889,0.91717,0.98687,0.95734,0.98022,0.90126,0.40248,0.3013,0.29586,0.8066,0.0014258,0.0014258,0.0014258
31,775.61,0.52306,0.52013,0.40176,0.90914,0.9866,0.96433,0.99213,0.91082,0.99187,0.95669,0.97938,0.89029,0.4108,0.29855,0.30293,0.81001,0.001406,0.001406,0.001406
32,800.126,0.52776,0.54727,0.41198,0.91318,0.98768,0.97197,0.98974,0.91038,0.98241,0.96433,0.9795,0.89837,0.41887,0.29973,0.2978,0.81368,0.0013862,0.0013862,0.0013862
33,824.932,0.5193,0.53084,0.39564,0.91479,0.97561,0.96807,0.99123,0.90581,0.97803,0.96415,0.98013,0.88036,0.42339,0.32366,0.30161,0.81259,0.0013664,0.0013664,0.0013664
34,849.697,0.51273,0.54113,0.39141,0.90603,0.9832,0.96926,0.98627,0.89491,0.97932,0.96544,0.97618,0.89724,0.45512,0.3071,0.3101,0.82365,0.0013466,0.0013466,0.0013466
35,874.542,0.50845,0.52241,0.38619,0.90611,0.97946,0.97172,0.98806,0.91424,0.97561,0.96821,0.98391,0.89733,0.40375,0.29206,0.28306,0.80637,0.0013268,0.0013268,0.0013268
36,899.449,0.49556,0.50407,0.37785,0.89892,0.98826,0.96479,0.99093,0.91499,0.98331,0.95924,0.97811,0.89829,0.41986,0.30692,0.2977,0.80874,0.001307,0.001307,0.001307
37,924.536,0.50289,0.5254,0.38415,0.90777,0.97839,0.97197,0.98993,0.9171,0.97723,0.9707,0.9838,0.90194,0.39816,0.2859,0.28886,0.80414,0.0012872,0.0012872,0.0012872
38,948.985,0.48524,0.51095,0.37581,0.89665,0.9819,0.96732,0.98995,0.91033,0.98051,0.96148,0.98213,0.90076,0.41612,0.27918,0.29525,0.8032,0.0012674,0.0012674,0.0012674
39,973.692,0.48269,0.50858,0.36747,0.89422,0.99051,0.96306,0.99195,0.91315,0.98644,0.95924,0.97505,0.90061,0.40389,0.32046,0.28606,0.79938,0.0012476,0.0012476,0.0012476
40,998.378,0.50309,0.52418,0.37607,0.90237,0.99007,0.95541,0.98824,0.90806,0.98845,0.95414,0.97966,0.90463,0.40651,0.29425,0.28635,0.81232,0.0012278,0.0012278,0.0012278
41,1023.21,0.48981,0.51436,0.36957,0.89565,0.98698,0.96541,0.98551,0.91857,0.99337,0.95366,0.97939,0.89546,0.39663,0.28483,0.28249,0.80547,0.001208,0.001208,0.001208
42,1047.79,0.48826,0.518,0.36364,0.89626,0.98714,0.97799,0.99055,0.90793,0.98165,0.97197,0.98093,0.90208,0.42176,0.30556,0.28379,0.8049,0.0011882,0.0011882,0.0011882
43,1072.51,0.48234,0.50222,0.36527,0.89906,0.9854,0.96688,0.98899,0.91978,0.98041,0.96051,0.98228,0.90448,0.38565,0.30168,0.27428,0.79516,0.0011684,0.0011684,0.0011684
44,1097.22,0.47777,0.50161,0.35459,0.89433,0.98819,0.95937,0.98651,0.91035,0.98819,0.95937,0.98378,0.90211,0.39277,0.27005,0.28049,0.79606,0.0011486,0.0011486,0.0011486
45,1122.02,0.47162,0.48306,0.35397,0.89153,0.98566,0.96327,0.99135,0.91688,0.98302,0.95893,0.97674,0.90652,0.39529,0.27242,0.27649,0.79764,0.0011288,0.0011288,0.0011288
46,1146.66,0.47,0.476,0.3529,0.89092,0.98287,0.9707,0.98992,0.91111,0.9766,0.95705,0.97215,0.89223,0.39252,0.29624,0.27666,0.80626,0.001109,0.001109,0.001109
